31895	1	33228
33634	6	22694
5479	6	4316
16962	5	33712
40144	6	14674
16764	6	37926
19430	1	24434
15732	1	39783
19919	1	33750
25376	6	21259
4324	1	11727
4586	4	15480
29139	1	15019
39129	1	9059
27339	1	28458
3581	7	22181
18939	7	33553
28815	6	3486
28678	1	33516
13551	1	30975
17637	6	15909
6077	6	26969
37679	6	5907
31297	6	30525
298	1	9000
3036	1	5916
31829	1	24093
2540	6	28801
8213	6	31166
19677	1	19065
13580	7	20095
27360	6	31519
22361	6	5284
14404	1	11028
21106	6	13606
12065	1	24833
29554	2	38130
7053	6	9388
4429	7	19353
21615	1	8257
11164	1	14234
31336	10	32873
17865	1	11068
18944	1	19487
8854	1	33301
30895	6	24799
27390	1	2857
27317	6	2326
9411	6	1492
5728	6	25252
33332	1	26279
21711	6	39128
10642	8	14181
35099	1	34400
16132	6	13164
12252	6	20071
10444	10	25494
19692	6	27438
19179	6	25521
3935	1	8195
10172	5	5413
29212	6	9685
31522	1	1361
15666	1	31085
12444	2	6535
33018	1	10190
21779	3	1301
6837	4	16955
24327	10	26274
36088	1	3576
35759	6	13367
8203	6	10781
38053	6	27293
23843	1	13373
31083	6	31817
3482	1	36698
11405	1	24799
495	6	10806
6578	1	9521
37402	6	31923
8680	1	16317
26433	6	9076
29988	6	6621
27633	6	18213
28687	1	6981
9337	6	28862
19709	2	34157
5959	6	29335
35850	6	26094
21659	1	29956
29557	6	8640
10067	7	8669
21997	1	34657
28371	6	24446
2595	6	6157
10383	1	6784
6648	1	22805
17894	10	3677
10725	6	19642
12899	1	9783
35888	4	37386
37167	6	712
37042	1	13790
35155	1	23731
14424	6	33333
3748	6	18937
16938	2	38727
34035	1	11869
24219	6	24308
25927	1	36726
23050	1	29298
8733	4	23510
34412	7	35058
4182	1	5298
31634	1	322
35525	1	4183
34673	2	30553
7627	6	3989
20992	1	30975
26491	1	22982
28802	1	14312
1040	2	739
32353	1	5267
24090	7	21707
5756	6	29314
36292	1	9495
2110	1	37757
33476	6	7267
3648	6	10602
37023	5	8479
40323	7	27958
10243	6	29760
35599	1	3535
26475	1	17530
8277	1	25859
9685	1	9153
20444	6	26407
33485	10	28075
32083	6	15320
4712	6	21540
8925	1	37364
13518	1	3089
670	1	13901
34391	1	13726
5645	2	12704
20035	1	4084
29907	2	9523
7651	1	24096
40406	6	14615
32961	1	6772
29946	1	9785
28608	1	2959
37008	1	1895
20660	6	13502
34550	1	29296
18892	6	38288
11882	1	22411
26272	1	4462
18819	6	28603
26827	1	17241
17068	1	35481
28706	6	1847
10148	6	17900
10674	1	16775
28167	6	12760
40420	1	11181
27937	6	37817
5615	6	39365
31752	6	29388
10012	1	24791
28935	6	8640
6583	1	33770
31030	1	27048
6556	1	8561
3251	6	31829
23319	1	34638
8723	6	495
6249	1	29825
27202	1	24277
2686	6	19741
8922	7	14639
8571	1	9707
37813	6	16200
34256	1	18551
35282	1	34292
22035	1	37576
18521	1	40467
9514	6	39478
22308	6	7269
13283	6	6568
5977	6	6775
14298	6	32700
23322	1	19107
6663	1	12251
25335	6	28994
31556	6	16752
9293	1	6497
28053	1	6731
18779	6	59
11863	4	34293
33740	6	31364
3638	1	36141
30929	6	27664
24597	6	37894
4741	1	24678
26672	6	2932
26764	10	37089
15366	7	14337
32017	1	8482
28631	1	12396
18935	6	15711
21616	1	29833
30036	1	8558
22783	6	8463
22593	1	12573
496	1	921
37256	1	5830
32742	10	35774
29628	1	14008
18223	6	28880
11108	10	25678
38579	4	13999
22243	1	39841
31776	1	5438
15778	10	29089
14066	6	37370
15522	1	16135
25741	6	38413
27003	7	10838
1010	6	30363
8316	4	32654
22412	6	32265
4687	10	3561
26792	6	10535
29887	6	10174
20200	1	5460
15017	10	35398
21803	1	10526
16745	6	33593
25442	6	35977
14286	5	13807
36200	6	30986
10922	1	24645
36130	1	12871
19342	6	17325
5524	6	30915
19568	6	15914
26914	10	35640
14028	1	18987
13303	1	16512
9786	6	26631
33181	6	23468
18648	1	9361
36267	1	3010
24601	1	38775
40280	6	31968
37578	6	15367
28394	6	16978
14071	2	25530
14419	7	2798
27999	6	8912
3142	7	5137
5519	6	4873
3227	6	15909
38702	1	16857
23060	1	37182
16471	6	18246
17715	2	25554
31907	1	20720
30020	1	22272
7067	6	1996
36087	6	10226
7191	1	3689
37912	0	20182
24865	1	28746
7327	1	32913
20258	10	21150
36201	6	37745
33060	6	9719
14352	6	4907
27643	6	28241
2015	10	9562
7267	1	14430
8523	1	6331
21433	10	5862
12243	5	38384
33317	7	34151
28406	6	22376
39993	6	15794
37315	7	8582
14213	1	12975
18837	6	10593
11952	6	37678
30417	6	24174
532	7	29740
4144	7	35746
38199	6	25842
11566	4	38469
32030	6	5617
11074	1	15202
19325	5	28186
15111	6	9390
18775	7	19334
13754	1	17530
12100	2	34157
29037	7	28008
32948	1	5830
28041	6	10965
9686	6	27251
5768	1	35444
11066	1	6160
10365	1	11761
14380	1	17096
9272	6	29351
18905	10	37329
30103	1	8257
34505	1	24096
15028	1	32843
18258	6	11623
2618	4	1030
14241	6	14158
30849	1	39395
8073	6	13006
37617	6	21726
