0	02611002
1	02336483
2	08701719
3	00155487
4	03013718
5	02601680
6	04782116
7	00444651
8	02625648
9	05879441
10	05387544
11	05637106
12	01059400
13	11508092
14	12704844
15	12366186
16	02169702
17	10692696
18	02880940
19	14092247
20	03432129
21	02409941
22	01973375
23	02902816
24	00900583
25	02157731
26	14586769
27	01757677
28	14812359
29	13261779
30	14405931
31	00900581
32	01277755
33	00432683
34	00419685
35	05627785
36	00924579
37	11991080
38	14381416
39	00432689
40	11787391
41	01566916
42	11618525
43	00838098
44	10486349
45	09042924
46	04098513
47	02588122
48	01300655
49	07818133
50	09762509
51	13549916
52	13285714
53	00216991
54	03674440
55	00179486
56	01277784
57	12655351
58	05892427
59	04760771
60	02084252
61	07341860
62	06169050
63	00660381
64	12932532
65	01324610
66	00253919
67	07735294
68	01505991
69	00204943
70	01214171
71	10161178
72	04290259
73	09750524
74	00417001
75	02637637
76	02914813
77	02613687
78	02635013
79	05074374
80	03948041
81	10317500
82	05867413
83	00385791
84	03157582
85	06243575
86	07593549
87	07316856
88	01265740
89	02564130
90	01011425
91	11354333
92	09052314
93	12692323
94	09066948
95	01684180
96	00397760
97	13716686
98	02554797
99	03924069
100	08737716
101	06975132
102	00887081
103	07786856
104	13993356
105	02591757
106	00419644
107	02588108
108	01794668
109	02133704
110	00662972
111	14069895
112	14043243
113	07857731
114	07123552
115	04640927
116	05243704
117	14393438
118	02564146
119	00659349
120	01782650
121	00035603
122	15190520
123	01253778
124	07302267
125	02552171
126	00733883
127	09688008
128	08174995
129	00731222
130	05965933
131	02831998
132	05591256
133	01985331
134	00442063
135	15092059
136	00180495
137	02900219
138	02483908
139	04351776
140	03963645
141	13199244
142	02591736
143	02108791
144	00008007
145	11738378
146	03686470
147	01251128
148	02841315
149	01336635
150	08436562
151	08821578
152	06987124
153	04387706
154	05926358
155	05062370
156	02576110
157	00373766
158	08857529
159	00023646
160	04652930
161	01804595
162	14777441
163	11138681
164	06880249
165	06098195
166	14429985
167	10476928
168	12474006
169	00770834
170	05529286
171	13631194
172	03410740
173	14993137
174	01346003
175	09786585
176	10148165
177	13763058
178	10450303
179	09845401
180	02855925
181	00838043
182	00334174
183	01733634
184	15006118
185	00131426
186	01121948
187	14670639
188	02458943
189	01432474
190	01684133
191	02011281
192	12393723
193	10041373
194	13501941
195	10067968
196	03407122
197	10209616
198	02348405
199	01696135
200	08088472
201	11885856
202	01672168
203	00853649
204	02649689
205	03997027
206	14682642
207	12858019
208	02407390
209	08845555
210	00757856
211	07233996
212	05133287
213	02192127
214	05593871
215	05951323
