10003	46	10107
88	194	1277
7560	67	7498
4260	213	12985
5220	179	2662
566	97	3680
3698	7	7637
11903	214	5494
1525	178	7628
12087	56	3371
8148	29	6310
8405	126	5024
12685	87	4997
6669	13	504
6474	150	8750
5428	178	10980
12178	136	8069
11138	7	3516
2499	195	12178
8108	178	4027
8767	214	4171
10384	9	1924
12714	161	11545
9779	32	4364
5167	57	3427
11400	155	102
3840	57	5563
3032	77	12851
861	13	504
10029	172	4179
11899	144	12178
5425	9	231
7794	36	6920
13168	200	14410
1454	98	12948
2022	13	5160
4841	214	3430
8736	127	12178
8960	7	14055
6352	34	4143
9446	202	3981
13281	127	12178
12208	178	14315
9784	32	14042
9411	220	11948
396	213	14331
9118	65	13163
4933	54	9488
1372	34	9633
8253	50	9488
11984	227	5844
2127	174	11836
3218	41	9329
3098	156	2617
12083	7	3935
904	40	11856
6153	213	8705
5163	7	13540
8089	36	6920
10312	202	7861
103	178	13018
3032	77	3845
10798	179	6238
608	127	11689
5279	36	6920
3876	234	4298
13661	18	9655
9306	70	5514
564	77	7344
6092	126	5024
12526	9	4940
14169	213	2319
3464	36	6920
1984	220	12080
649	36	6920
13464	56	14200
9733	128	14349
3265	100	4825
13332	147	7017
6817	220	10100
9012	126	5024
235	144	8409
1572	215	13779
8492	210	9506
12794	13	12178
5562	36	6920
11840	13	9718
11651	150	13061
12563	47	9718
7583	220	12842
9696	134	5485
10725	7	11651
13094	77	11867
4293	100	10641
12725	138	12650
3640	220	12991
256	4	13061
5720	178	5787
11353	32	7733
6612	127	8935
4959	200	3170
10303	71	6626
1190	43	8478
2327	202	8519
7356	95	1326
7162	194	8175
1602	199	12093
3194	214	1986
8910	18	13464
6598	71	13770
12251	13	8034
2424	7	13109
12051	67	12273
12868	19	12868
12750	172	6283
13514	72	14249
526	70	11369
271	9	3779
2176	51	8389
1754	156	10823
6304	196	5836
13255	212	9488
3037	226	2604
7305	231	577
14150	156	4235
12635	156	2459
11999	9	3779
7199	29	12486
14492	13	5893
3134	89	366
11409	97	3680
1190	156	7461
383	214	2472
12409	9	8639
14388	145	8116
7662	107	6592
4532	223	1780
5768	126	5024
3635	156	7468
3118	178	6072
1050	178	11869
14417	220	7560
6517	96	7678
2284	32	3915
14068	7	10254
10304	57	2532
1883	178	8446
3247	65	10692
5137	214	10833
9641	63	6630
12035	232	14153
13137	150	2703
12212	87	12138
7382	178	12155
4612	147	5310
6360	32	7574
5245	140	9127
9503	36	6920
13000	7	5196
3595	220	12842
200	13	11654
12217	42	13440
10436	127	12178
8209	156	13771
9633	20	10401
11465	4	8750
5460	115	4752
4830	91	5457
3944	178	8868
8022	13	11578
1953	13	5160
10729	189	10065
8439	32	9870
8928	7	14235
3159	178	8862
702	82	5694
8729	14	13206
6806	213	8797
14278	136	10128
14164	32	7957
10803	107	14302
3806	84	3212
8013	32	3959
1882	32	7861
8035	223	10997
8805	214	7161
8238	53	158
8699	200	6830
11671	90	7703
6204	98	6383
3069	57	1788
141	155	11682
7317	144	1645
12459	184	12459
7182	57	1955
7470	214	5643
4025	98	12899
1329	178	9681
6608	25	6589
6604	194	13429
3625	178	12007
12276	57	3344
6992	202	3042
3734	139	4587
9235	13	12178
5700	57	5599
8894	214	6979
14325	178	9429
11059	127	968
14355	128	10612
987	178	5443
4930	137	6704
10803	107	3236
806	47	12178
3042	214	11568
10130	9	3649
8255	178	9013
4430	32	9041
6860	179	5173
6669	13	9127
10237	194	13552
4810	214	3942
1006	223	13161
10538	210	8293
6737	178	4487
9083	65	7208
1107	14	2166
14152	7	9012
12253	77	4456
3019	7	8482
2561	231	3732
3496	136	7500
220	100	5419
99	7	3550
4989	32	3981
3194	214	9648
2358	178	4404
1057	9	4115
12854	113	8800
8391	210	1721
9655	189	8724
14217	220	2558
7838	198	6411
9892	210	12547
12178	44	13495
13294	184	13294
1254	63	1729
12713	126	5024
9866	232	12865
